COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;COD_GRUPO;Desc Grupo;
022436;BASE GAZIN SUEDE MARRON LISA 27CMX1,88MX1,38M;;05;0509;050905;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO BASE BOX;1005;COLCHAO;
022437;COLCHAO TESTE DANIEL 32X188X138 PKT EURO;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022438;COLCHAO TESTE DANIEL 34X188X138 PKT EURO;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
022439;FOGAO 4BC. AGATA 4062 INOX;;03;0301;030101;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO FOGAO;1001;ELETRODOMESTICOS;
022440;FOGAO 5BC. AGATA 5062 INOX;;03;0301;030101;ELETRO;ELETRO ELETRODOMESTICO;ELETRO ELETRODOMESTICO FOGAO;1001;ELETRODOMESTICOS;
022441;"TELEVISOR 32"" 32LH515B LG";;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;
022442;"TELEVISOR SMART 32"" 32LH570B LG";;01;0101;010106;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO SMART TV;1003;TV E VIDEO;
022443;"TELEVISOR 43"" 43LH5150 LG";;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;
022444;"TELEVISOR SMART 43"" 43LH5700 LG";;01;0101;010106;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO SMART TV;1003;TV E VIDEO;
022445;"TELEVISOR 49"" 49LH5150 LG";;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;
022446;"TELEVISOR SMART 49"" 49LH5700 LG";;01;0101;010106;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO SMART TV;1003;TV E VIDEO;
022447;"TELEVISOR SMART 55"" 55LH5750 LG";;01;0101;010106;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO SMART TV;1003;TV E VIDEO;
022448;SMARTPHONE ALCATEL PIXI3 4009E CLARO PRETO;;02;0201;020101;CELULAR;CELULAR SMARTPHONE;CELULAR SMARTPHONE SMARTPHONE;1002;CELULAR;
022449;"TELEVISOR SMART 49"" 4K 49UH6100 LG";;01;0101;010106;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO SMART TV;1003;TV E VIDEO;
022450;SMARTPHONE SAMSUNG GAL J7 J710 METAL DB PRETO;;02;0201;020101;CELULAR;CELULAR SMARTPHONE;CELULAR SMARTPHONE SMARTPHONE;1002;CELULAR;
022451;SMARTPHONE SAMSUNG GAL J7 J710 METAL DB BRANC;;02;0201;020101;CELULAR;CELULAR SMARTPHONE;CELULAR SMARTPHONE SMARTPHONE;1002;CELULAR;
022452;ESCOVA ROTATIVA CERAMIC SPIN BRUSH 220V;;03;0304;030408;ELETRO;ELETRO BELEZA E SAUDE;ELETRO BELEZA E SAUDE ESCOVA ROTATIVA;1010;BELEZA E SAUDE;
022453;PANELEIRO CD-349 2FORNOS VUIDRO NM UV;;05;0503;050304;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA PANELEIRO;1000;MOVEIS;
022454;AEREO CD-622 BASCULANTE 120 NM/TURQUESA;;05;0503;050303;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA ARMARIO;1000;MOVEIS;
022455;AEREO CD-628 QUADRADO 80 NM/TURQUESA;;05;0503;050303;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA ARMARIO;1000;MOVEIS;
022456;BALCAO CD-147 120 NM UV;;05;0503;050302;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA BALCAO;1000;MOVEIS;
022457;BALCAO CD-150 C/GAVETAO VIDRO NM UV;;05;0503;050302;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA BALCAO;1000;MOVEIS;
022458;PANELEIRO CD-348 PROFUNDO CIDRO NM UV;;05;0503;050304;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA PANELEIRO;1000;MOVEIS;
022459;TAMPO DE MADEIRA CD-412 P/COZINHA BP 120 75 A;;05;0503;050310;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA TAMPO;1000;MOVEIS;
022460;TAMPO DE MADEIRA CD-418 P/COZINHA BP 80 75 AM;;05;0503;050310;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA TAMPO;1000;MOVEIS;
022461;COZINHA AMORA C/IG3G1-105 BRA/BRA B/PTO LC;;05;0503;050301;MOVEIS;MOVEIS COZINHA;MOVEIS COZINHA COZINHA COMPACTA;1000;MOVEIS;
