,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
76,2016-06-23,8.47357784010661,4.083924199042512,17.621979288762812,8.47357784010661,8.47357784010661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1193242326885504,2.1193242326885504,2.1193242326885504,0.0,0.0,0.0,2.1193242326885504,2.1193242326885504,2.1193242326885504,0.0,0.0,0.0,10.59290207279516
77,2016-06-30,8.615884534632748,3.619726319864025,17.16561686260511,8.615884534632748,8.615884534632748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3581017874480317,1.3581017874480317,1.3581017874480317,0.0,0.0,0.0,1.3581017874480317,1.3581017874480317,1.3581017874480317,0.0,0.0,0.0,9.97398632208078
78,2016-07-07,8.758191229158886,2.369926919018237,15.708251050650148,8.758191229158886,8.758191229158886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5722264747170196,0.5722264747170196,0.5722264747170196,0.0,0.0,0.0,0.5722264747170196,0.5722264747170196,0.5722264747170196,0.0,0.0,0.0,9.330417703875906
79,2016-07-14,8.900497923685025,3.1294102034278932,16.52002414894438,8.900497923685025,8.900497923685025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7275817476869278,0.7275817476869278,0.7275817476869278,0.0,0.0,0.0,0.7275817476869278,0.7275817476869278,0.7275817476869278,0.0,0.0,0.0,9.628079671371953
80,2016-07-21,9.042804692781797,3.7868876541131105,16.829238616171594,9.042804692781797,9.042804692781797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5950837807898455,1.5950837807898455,1.5950837807898455,0.0,0.0,0.0,1.5950837807898455,1.5950837807898455,1.5950837807898455,0.0,0.0,0.0,10.637888473571643
81,2016-07-28,9.18511146187857,4.974530008344341,17.807949457307064,9.18511146187857,9.18511146187857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2216375388120855,2.2216375388120855,2.2216375388120855,0.0,0.0,0.0,2.2216375388120855,2.2216375388120855,2.2216375388120855,0.0,0.0,0.0,11.406749000690656
82,2016-08-04,9.32741823097534,5.400391719035799,18.364570859699473,9.32741823097534,9.32741823097534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2477912061694068,2.2477912061694068,2.2477912061694068,0.0,0.0,0.0,2.2477912061694068,2.2477912061694068,2.2477912061694068,0.0,0.0,0.0,11.575209437144746
83,2016-08-11,9.469725000072113,4.426207795606124,17.78244088378272,9.469725000072113,9.469725000072113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29544611658088127,-0.29544611658088127,-0.29544611658088127,0.0,0.0,0.0,0.0,0.0,0.0,1.9695711369215994,1.9695711369215994,1.9695711369215994,-0.29544611658088127,-0.29544611658088127,-0.29544611658088127,2.2650172535024806,2.2650172535024806,2.2650172535024806,0.0,0.0,0.0,11.439296136993713
84,2016-08-18,9.612031769168883,5.7543964051685395,19.225837781473967,9.612031769168883,9.612031769168883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.721636845119941,2.721636845119941,2.721636845119941,0.0,0.0,0.0,2.721636845119941,2.721636845119941,2.721636845119941,0.0,0.0,0.0,12.333668614288824
85,2016-08-25,9.75433960599737,5.983575023900581,18.37009422689754,9.75433960599737,9.75433960599737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8873030741208945,2.8873030741208945,2.8873030741208945,0.0,0.0,0.0,2.8873030741208945,2.8873030741208945,2.8873030741208945,0.0,0.0,0.0,12.641642680118263
