COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;Cod Grupo;Desc Grupo;ATIVO;
RHC00504;CAMISA 105 MAS   SEG PATRIM   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00505;CAMISA 105 MAS   SEG PATRIM   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00506;CAMISA 105 MAS   SEG PATRIM   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00507;CAMISA 105 MAS   SEG PATRIM   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00508;CAMISA 105 MAS   SEG PATRIM   XXG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00601;CAMISA 107 MAS   SERV GER   PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00602;CAMISA 107 MAS   SERV GER   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00603;CAMISA 107 MAS   SERV GER   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00604;CAMISA 107 MAS   SERV GER   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00605;CAMISA 107 MAS   SERV GER   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00606;CAMISA 107 MAS   SERV GER   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00607;CAMISA 107 MAS   SERV GER   XGG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00701;CAMISA 109 MAS   EQ LOJA   PP;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00702;CAMISA 109 MAS   EQ LOJA   P;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00703;CAMISA 109 MAS   EQ LOJA   M;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00704;CAMISA 109 MAS   EQ LOJA   G;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00705;CAMISA 109 MAS   EQ LOJA   GG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
RHC00706;CAMISA 109 MAS   EQ LOJA   XG;;07;;07;ALMOXARIFADO;;ALMOXARIFADO;MC06;MAT. FARDAMENTO;S;
