,Observed,trend,seasonal,resid
2015-09-05,3.0,4.366666666666667,-0.19260130373502465,-1.1740653629316424
2015-09-08,4.0,4.366666666666667,0.39848396758280474,-0.7651506342494718
2015-09-09,6.0,4.383333333333333,-0.31663231148696264,1.9332989781536298
2015-09-10,3.0,4.366666666666667,0.502359936575053,-1.86902660324172
2015-09-11,3.0,4.333333333333333,0.32018939393939405,-1.653522727272727
2015-09-12,7.0,4.383333333333333,-0.0026788231148695465,2.6193454897815367
2015-09-14,9.0,4.433333333333333,0.024065362931642017,4.542601303735025
2015-09-15,5.0,4.516666666666667,-0.06663231148696266,0.5499656448202961
2015-09-16,4.0,4.566666666666667,0.37755373502466516,-0.9442204016913325
2015-09-17,3.0,4.483333333333333,0.403910324171952,-1.8872436575052853
2015-09-18,6.0,4.466666666666667,0.12949171952078925,1.403841613812544
2015-09-19,4.0,4.550000000000001,-0.4011284355179704,-0.14887156448203032
2015-09-21,5.0,4.5166666666666675,0.04189482029598302,0.4414385130373495
2015-09-22,4.0,4.466666666666667,-0.02477184637068358,-0.4418948202959832
2015-09-23,3.0,4.416666666666667,-0.16004316420014106,-1.256623502466526
2015-09-24,4.0,4.316666666666666,0.30894908386187453,-0.6256157505285409
2015-09-25,4.0,4.3,0.48017882311486965,-0.7801788231148694
2015-09-26,4.0,4.2333333333333325,0.12336064129668783,-0.35669397463002034
2015-09-28,3.0,4.183333333333334,0.40139094432699085,-1.5847242776603245
2015-09-29,5.0,4.2,-0.14065451021846376,0.9406545102184636
2015-09-30,5.0,4.116666666666666,-0.2955787526427061,1.1789120859760398
2015-10-01,3.0,3.966666666666667,-0.17550299506694858,-0.7911636715997182
2015-10-02,10.0,3.85,0.05972427766032424,6.090275722339676
2015-10-03,1.0,3.75,0.932072762508809,-3.6820727625088088
2015-10-05,3.0,3.6666666666666665,-0.6300484496124032,-0.03661821705426327
2015-10-06,4.0,3.5666666666666664,-0.19519996476391824,0.6285332980972518
2015-10-07,7.0,3.4499999999999997,-0.6917908738548274,4.241790873854828
2015-10-08,1.0,3.35,-0.7736090556730091,-1.576390944326991
2015-10-09,5.0,3.3,-0.001128435517970391,1.7011284355179705
2015-10-10,2.0,3.3833333333333337,-0.4356245595489781,-0.9477087737843557
2015-10-12,2.0,3.4833333333333334,-0.19260130373502465,-1.2907320295983087
2015-10-13,4.0,3.5166666666666666,0.39848396758280474,0.08484936575052865
2015-10-14,2.0,3.55,-0.31663231148696264,-1.2333676885130371
2015-10-15,4.0,3.55,0.502359936575053,-0.05235993657505278
2015-10-16,3.0,3.466666666666667,0.32018939393939405,-0.7868560606060608
2015-10-17,2.0,3.333333333333334,-0.0026788231148695465,-1.3306545102184644
2015-10-20,5.0,3.3333333333333335,0.024065362931642017,1.6426013037350244
2015-10-21,2.0,3.3499999999999996,-0.06663231148696266,-1.283367688513037
2015-10-22,1.0,3.3666666666666663,0.37755373502466516,-2.744220401691331
2015-10-23,1.0,3.4333333333333336,0.403910324171952,-2.8372436575052857
2015-10-24,2.0,3.4166666666666665,0.12949171952078925,-1.5461583861874557
2015-10-26,1.0,3.333333333333333,-0.4011284355179704,-1.9322048978153625
2015-10-27,2.0,3.25,0.04189482029598302,-1.291894820295983
2015-10-28,4.0,3.2166666666666663,-0.02477184637068358,0.8081051797040173
2015-10-29,8.0,3.2333333333333334,-0.16004316420014106,4.926709830866808
2015-10-30,5.0,3.2666666666666666,0.30894908386187453,1.424384249471459
2015-10-31,5.0,3.266666666666666,0.48017882311486965,1.2531545102184642
2015-11-02,5.0,3.416666666666667,0.12336064129668783,1.4599726920366451
2015-11-03,2.0,3.583333333333333,0.40139094432699085,-1.984724277660324
2015-11-04,1.0,3.7666666666666666,-0.14065451021846376,-2.626012156448203
2015-11-05,1.0,4.066666666666666,-0.2955787526427061,-2.77108791402396
2015-11-06,7.0,4.266666666666667,-0.17550299506694858,2.908836328400282
2015-11-07,7.0,4.483333333333333,0.05972427766032424,2.4569423890063424
2015-11-09,5.0,4.75,0.932072762508809,-0.682072762508809
2015-11-10,3.0,5.0,-0.6300484496124032,-1.3699515503875968
2015-11-11,3.0,5.299999999999999,-0.19519996476391824,-2.1048000352360807
2015-11-12,3.0,5.5,-0.6917908738548274,-1.8082091261451727
2015-11-13,0.0,5.516666666666667,-0.7736090556730091,-4.743057610993658
2015-11-14,4.0,5.450000000000001,-0.001128435517970391,-1.4488715644820307
