,ENTREGA,CHIP CLARO ODA 128KB TRIPE,GE1 ELETROPORTATEIS,CHIP VIVO 4G 128K P19 HRS PRE,GE2 CELULAR,CHIP OI 4G 128KB,GE1 CELULAR,CHIP TIM INFINITY PRE HRD TRIPLO 4G,VENTILADOR 30 NV-15 3P BR 220V,CHIP TIM INFINITY PRE DUPLO 4G HDR NACIONAL
2015-09-18,6.0,0.0,6.0,1.0,4.0,7.0,5.0,0.0,2.0,1.0
2015-09-19,6.0,0.0,4.0,0.0,1.0,8.0,2.0,0.0,0.0,1.0
2015-09-21,10.0,0.0,5.0,2.0,9.0,14.0,5.0,0.0,0.0,1.0
2015-09-22,5.0,0.0,4.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0
2015-09-23,4.0,0.0,3.0,2.0,2.0,8.0,1.0,0.0,0.0,1.0
2015-09-24,9.0,0.0,4.0,6.0,2.0,6.0,4.0,0.0,1.0,1.0
2015-09-25,8.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0
2015-09-26,6.0,0.0,4.0,1.0,7.0,5.0,1.0,0.0,3.0,2.0
2015-09-28,9.0,0.0,3.0,4.0,3.0,11.0,2.0,0.0,1.0,2.0
2015-09-29,6.0,0.0,5.0,2.0,2.0,8.0,1.0,0.0,1.0,1.0
2015-09-30,11.0,0.0,5.0,0.0,1.0,5.0,1.0,0.0,4.0,6.0
2015-10-01,9.0,0.0,3.0,0.0,5.0,10.0,2.0,0.0,4.0,1.0
2015-10-02,4.0,0.0,10.0,0.0,5.0,4.0,2.0,0.0,1.0,1.0
2015-10-03,3.0,0.0,1.0,0.0,3.0,9.0,3.0,0.0,0.0,0.0
2015-10-05,1.0,0.0,3.0,0.0,8.0,9.0,4.0,0.0,2.0,5.0
2015-10-06,6.0,0.0,4.0,0.0,3.0,5.0,1.0,0.0,2.0,0.0
2015-10-07,5.0,0.0,7.0,0.0,6.0,10.0,4.0,0.0,1.0,0.0
2015-10-08,4.0,0.0,1.0,0.0,3.0,8.0,4.0,0.0,2.0,1.0
2015-10-09,2.0,0.0,5.0,0.0,3.0,7.0,3.0,0.0,0.0,4.0
2015-10-10,5.0,0.0,2.0,0.0,7.0,6.0,5.0,0.0,2.0,9.0
2015-10-12,3.0,0.0,2.0,0.0,1.0,5.0,2.0,0.0,1.0,5.0
2015-10-13,4.0,0.0,4.0,0.0,0.0,5.0,4.0,0.0,2.0,3.0
2015-10-14,2.0,0.0,2.0,1.0,1.0,6.0,2.0,0.0,0.0,5.0
2015-10-15,3.0,0.0,4.0,5.0,3.0,3.0,1.0,0.0,1.0,1.0
2015-10-16,2.0,0.0,3.0,2.0,5.0,7.0,4.0,0.0,1.0,5.0
2015-10-17,3.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,3.0
2015-10-20,6.0,0.0,5.0,2.0,1.0,5.0,5.0,0.0,0.0,6.0
2015-10-21,4.0,0.0,2.0,3.0,4.0,6.0,4.0,0.0,0.0,4.0
2015-10-22,9.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0
2015-10-23,8.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,1.0,2.0
2015-10-24,8.0,0.0,2.0,1.0,2.0,3.0,6.0,0.0,1.0,1.0
2015-10-26,10.0,0.0,1.0,2.0,2.0,13.0,2.0,0.0,0.0,1.0
2015-10-27,5.0,0.0,2.0,0.0,3.0,10.0,5.0,0.0,0.0,1.0
2015-10-28,6.0,0.0,4.0,1.0,4.0,5.0,1.0,0.0,1.0,3.0
2015-10-29,6.0,0.0,8.0,2.0,1.0,2.0,3.0,0.0,1.0,6.0
2015-10-30,6.0,0.0,5.0,3.0,3.0,11.0,2.0,0.0,2.0,1.0
2015-10-31,6.0,0.0,5.0,4.0,4.0,12.0,3.0,0.0,0.0,3.0
2015-11-02,2.0,0.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0
2015-11-03,3.0,0.0,2.0,3.0,0.0,4.0,4.0,0.0,0.0,1.0
2015-11-04,2.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,1.0,5.0
2015-11-05,6.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,8.0
2015-11-06,5.0,0.0,7.0,1.0,4.0,8.0,5.0,0.0,2.0,3.0
2015-11-07,3.0,0.0,7.0,2.0,2.0,8.0,1.0,0.0,1.0,4.0
2015-11-09,5.0,0.0,5.0,5.0,5.0,9.0,6.0,0.0,1.0,11.0
2015-11-10,6.0,0.0,3.0,3.0,5.0,7.0,4.0,0.0,2.0,3.0
